model_a,model_b,mean_diff_cindex,p_mu_gt_0 (A>B),p_mu_lt_0 (A<B),p_in_rope,symbol_rowA_colB,decision
extratrees,gbrt,-0.0037710095570272937,0.17962280165783584,0.8203771983421642,0.9254131335532318,≫,B > A (low conf.)
extratrees,gpr,0.0053817513240839495,0.8575082738169835,0.14249172618301653,0.8178778152125376,≪,A > B (low conf.)
extratrees,hgbr,0.00887390767964269,0.9182842989554406,0.08171570104455941,0.5690317027007328,≪,A > B (low conf.)
extratrees,knn,0.00036448752847206833,0.5347801707162885,0.4652198292837116,0.9656957024103607,=,practical tie
extratrees,rf,-0.00038740224518512,0.41240045629367517,0.5875995437063248,0.9998337960615501,=,practical tie
extratrees,svr,0.009118505956081657,0.9822246892948179,0.017775310705182124,0.5901954665799938,≪*,extratrees > svr
extratrees,xgb,-0.00940551763176516,0.02029845068441416,0.9797015493155858,0.5572424918883319,≫*,xgb > extratrees
gbrt,gpr,0.009152760881111244,0.8819850996375387,0.1180149003624613,0.5328897081615233,≪,A > B (low conf.)
gbrt,hgbr,0.012644917236669984,0.9868125812552706,0.013187418744729378,0.2986089744897187,≪*,gbrt > hgbr
gbrt,knn,0.004135497085499362,0.7642504937994026,0.23574950620059743,0.8289798998048582,≪,A > B (low conf.)
gbrt,rf,0.003383607311842174,0.7725166363894026,0.2274833636105974,0.9143856662439827,≪,A > B (low conf.)
gbrt,svr,0.012889515513108952,0.9683085450001334,0.03169145499986655,0.32288212377524983,≪*,gbrt > svr
gbrt,xgb,-0.005634508074737865,0.04651573491441874,0.9534842650855813,0.9093568187225312,≫*,xgb > gbrt
gpr,hgbr,0.0034921563555587397,0.6449239841565363,0.3550760158434637,0.6686611397221994,≪,A > B (low conf.)
gpr,knn,-0.005017263795611881,0.20836672143546964,0.7916332785645304,0.775286541102377,≫,B > A (low conf.)
gpr,rf,-0.00576915356926907,0.1488068392195201,0.8511931607804799,0.7738160871014492,≫,B > A (low conf.)
gpr,svr,0.0037367546319977073,0.8214110165653293,0.17858898343467067,0.9289802361132566,≪,A > B (low conf.)
gpr,xgb,-0.01478726895584911,0.02194291445152241,0.9780570855484776,0.2347916095693966,≫*,xgb > gpr
hgbr,knn,-0.008509420151170621,0.13308513190194438,0.8669148680980556,0.5655091307675497,≫,B > A (low conf.)
hgbr,rf,-0.00926130992482781,0.09102557368042674,0.9089744263195733,0.5375311266718676,≫,B > A (low conf.)
hgbr,svr,0.0002445982764389676,0.511651194328586,0.488348805671414,0.7509420447348848,≪,A > B (low conf.)
hgbr,xgb,-0.01827942531140785,0.006103886739357911,0.9938961132606421,0.09806201641192924,≫*,xgb > hgbr
knn,rf,-0.0007518897736571884,0.44263589207647447,0.5573641079235255,0.9204745036303087,≫,B > A (low conf.)
knn,svr,0.008754018427609589,0.9392094233096125,0.06079057669038743,0.590376717181692,≪,A > B (low conf.)
knn,xgb,-0.009770005160237228,0.07751517961779564,0.9224848203822044,0.5085792985435131,≫,B > A (low conf.)
rf,svr,0.009505908201266778,0.9735817731496774,0.026418226850322628,0.5437322263089044,≪*,rf > svr
rf,xgb,-0.009018115386580039,0.02059740952322664,0.9794025904767734,0.5977611736320025,≫*,xgb > rf
svr,xgb,-0.018524023587846817,0.008055382311535353,0.9919446176884646,0.10594106784027135,≫*,xgb > svr
