Net,PSNR,Params,Generation,Model,Seed,SourceFile,PSNR_N,Params_N
"[0, 7, 4, 4, 7, 1, 4, 7, 3, 2, 7, 1, 3, 7, 5, 4, 7, 5, 1, 7, 4, 4, 7, 4, 0, 7, 5, 4]",33.079383,2272.0,137,rf,1,G:\Mi unidad\Paper2\Seeds\mse_Reduced\rf\rf_converted_seed_1.csv,0.7836436366442298,0.0
"[4, 7, 2, 4, 7, 4, 5, 7, 2, 1, 7, 1, 2, 7, 7, 4, 7, 5, 1, 7, 3, 2, 2, 0, 1, 3, 4, 4]",33.479364,3088.0,331,svr,17,G:\Mi unidad\Paper2\Seeds\mse_Reduced\svr\svr_converted_seed_17.csv,0.8366742199062663,0.0001552209006464494
"[0, 7, 4, 4, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 5, 7, 6, 1, 1, 4, 0, 4, 1, 4, 1, 4, 4]",33.684407,3792.0,481,et,29,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_29.csv,0.8638593859111466,0.0002891369717924057
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 4, 0, 4, 2, 4, 1, 4, 4]",33.895579,4320.0,460,et,5,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_5.csv,0.891857151626545,0.000389574025151873
"[0, 7, 5, 5, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 1, 4, 1, 4, 4]",33.920553,9936.0,327,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.8951682733707932,0.0014578590472480247
"[0, 7, 5, 5, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 4, 4]",33.994648,10192.0,287,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.9049919926644612,0.0015065558003920089
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 4, 4]",34.030746,10464.0,299,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.9097779649846293,0.001558296100607492
"[0, 7, 5, 5, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",34.114552,16336.0,372,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.920889195420221,0.0026752778758476277
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 1, 4, 1, 2, 4]",34.115236,16352.0,368,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.9209798820252127,0.002678321422919127
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",34.197655,16608.0,363,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.9319072201784588,0.002727018176063111
"[0, 7, 5, 5, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 7, 6, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",34.241248,29168.0,374,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.9376869002536176,0.0051162026271898324
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 6, 6, 1, 1, 2, 0, 4, 1, 4, 1, 2, 4]",34.281894,29184.0,371,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.9430758589473277,0.005119246174261331
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 6, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",34.379322,29440.0,359,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.9559931316829171,0.005167942927405315
"[1, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",34.398991,60768.0,432,et,5,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_5.csv,0.9586009019074553,0.011127208093400372
"[1, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 6, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",34.711242,112032.0,372,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,1.0,0.020878732910483193
